INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-05-09', 'YYYY-MM-DD'), 0, 0, 7.0, 26, 2, 2, 5, 1, 5, 1, 1,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-06-06', 'YYYY-MM-DD'), 0, 0, 6.0, 29, 3, 4, 8, 2, 4, 1, 2,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-06-21', 'YYYY-MM-DD'), 0, 1, 5.0, 21, 6, 6, 5, 1, 3, 1, 1,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-06-16', 'YYYY-MM-DD'), 1, 0, 9.0, 30, 1, 1, 2, 1, 4, 0, 1,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-05-14', 'YYYY-MM-DD'), 0, 0, 7.0, 24, 2, 2, 4, 0, 6, 1, 0,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-05-04', 'YYYY-MM-DD'), 0, 0, 7.0, 27, 3, 3, 5, 1, 7, 1, 1,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-06-11', 'YYYY-MM-DD'), 0, 0, 8.0, 27, 1, 1, 3, 0, 3, 1, 0,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-04-29', 'YYYY-MM-DD'), 1, 0, 7.0, 28, 2, 2, 9, 0, 0, 1, 0,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-09-11', 'YYYY-MM-DD'), 0, 1, 5.1, 24, 3, 3, 7, 2, 5, 3, 2,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-05-25', 'YYYY-MM-DD'), 1, 0, 5.0, 24, 6, 6, 8, 1, 1, 0, 1,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-05-31', 'YYYY-MM-DD'), 1, 0, 6.0, 22, 0, 0, 2, 2, 2, 0, 2,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-04-06', 'YYYY-MM-DD'), 0, 0, 6.0, 24, 3, 3, 6, 3, 4, 2, 3,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-05-20', 'YYYY-MM-DD'), 1, 0, 7.0, 24, 0, 0, 4, 0, 6, 0, 0,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-04-16', 'YYYY-MM-DD'), 0, 0, 6.0, 30, 4, 4, 10, 2, 7, 3, 2,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-04-23', 'YYYY-MM-DD'), 0, 0, 6.0, 27, 1, 1, 6, 4, 3, 1, 4,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
INSERT INTO rangerstats_pitcher_game_record (game_date, w, l, ip, bf, r, er, h, bb, k, hr, bb, player_id) VALUES (to_date('2016-04-11', 'YYYY-MM-DD'), 1, 0, 6.0, 22, 1, 1, 4, 1, 6, 0, 1,  (select id from rangerstats_player where first_name = 'Colby' and last_name = 'Lewis'));
